poi ville code_postale code_insee region code_departement departement latitude longitude createur_donnée fournisseur id_poi photo categorie_mere sous_categorie
"VISITE - NANCY INSOLITE -" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.698872 6.177816 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/712876fc-ea4e-3b0a-9d4f-1dcbb5d7971b False Produit Visite
"VISITES-TRANSAT 'LE COLLÈGE GILLES DE TRÈVES'" 85 55000 55029 "Grand Est" 55 Meuse 48.772764 5.155497 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/73b4926c-be93-374a-8230-a0db67032c57 False Produit Visite
"VISITE VIRTUELLE DES FORTIFICATIONS DE VAUBAN" 195 54400 54323 "Grand Est" 54 Meurthe-et-Moselle 49.52414 5.76319 "OT DU PAYS DE LONGWY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/78794353-f09a-32be-8dff-c09d0b0f433e False Produit Visite
"DÉCOUVERTE DU CENTRE HISTORIQUE DE NANCY" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.696038 6.178979 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/7a8bad4f-0ffb-30f6-9a51-be6c5f444a76 False Produit Visite
"VISITE THÉMATIQUE 'LA BEAUTÉ AU FÉMININ'" 85 55000 55029 "Grand Est" 55 Meuse 48.771623 5.157296 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/7ecc137f-081b-31f5-8ecb-c93e9d30b0a0 False Produit Visite
"VISITE GUIDÉE DE METZ - SUR LES PAS DE VERLAINE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/80fe5ab0-ee1a-34a9-affa-acd313bffd0a False Produit Visite
"RACONTER DES SALADES - L'HISTOIRE DES EXPRESSIONS FRANÇAISES" 1 54000 54395 "Grand Est" 54 Meurthe-et-Moselle 48.696038 6.178979 "DESTINATION NANCY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/865f0d23-22a4-3723-a86a-d992392b118a False Produit Visite
"JOURNEEES EUROPEENNES DU PATRIMOINE - LES MONUMENTS RELIGIEUX" 26 88000 88160 "Grand Est" 88 Vosges 48.174125 6.450838 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/8955a722-3368-32cc-b1b6-7889d19c10e4 False Produit Visite
"VISITE A LA LANTERNE DU CAMP MARGUERRE" 841 55230 55299 "Grand Est" 55 Meuse 49.29005 5.568375 "OT DES PORTES DE VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/8fa8a5b2-9cec-386b-ad98-6e520b51fbb2 False Produit Visite
"ATELIER 'PRENDRE LA PAROLE - LIRE A VOIX HAUTE '" 128 55300 55463 "Grand Est" 55 Meuse 48.889431 5.545034 "OT COEUR DE LORRAINE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/946a5caa-90df-32aa-babd-33668299041e True Produit Pratique
"VISITE ÉCLAIR 'GARGOUILLES ET CHIMÈRES EN VILLE HAUTE'" 85 55000 55029 "Grand Est" 55 Meuse 48.768206 5.15939 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/94b073df-b9a0-315f-83cf-b8bc0dac1f2f False Produit Visite
"VISITE GUIDÉE DE METZ - METZ MÉDIÉVALE" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/978970e8-5137-3a3d-8755-8b1e11916bff False Produit Visite
"ATELIER ANIMAUX AMUSANTS LEGO®" 1291 57400 57324 "Grand Est" 57 Moselle 48.775601 7.093069 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/9d68b82b-c5b0-3874-9f35-4e4116a14f77 False Produit Pratique
"ATELIER MANGA" 195 54400 54323 "Grand Est" 54 Meurthe-et-Moselle 49.518749 5.752565 "OT DU PAYS DE LONGWY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/9db6369a-5405-32ba-8626-02eb7eb31c0a False Produit Pratique
"VISITE GUIDÉE DE METZ - LA NOUVELLE VILLE" 13 57000 57463 "Grand Est" 57 Moselle 49.110048 6.17714 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/9e1c0541-e98f-3cda-87ed-836008007600 False Produit Visite
"VISITES GUIDÉES DU JARDIN DES BAUSSOTTES" 584 88360 88170 "Grand Est" 88 Vosges 47.90964 6.708919 "OT BUSSANG / BHV" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/9e220fe7-1cb9-3ed6-bc35-ddc84ee879fe False Produit Visite
"VISITE GUIDÉE DE METZ - SANG VALENTIN" 13 57000 57463 "Grand Est" 57 Moselle 49.120219 6.17653 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/9ea3b765-bca9-3dc5-a0bf-b59e029033e8 False Produit Visite
"VISITE GUIDÉE DE LA CITADELLE HAUTE" 5 55100 55545 "Grand Est" 55 Meuse 49.158724 5.376156 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/9f4ebbf7-666e-3631-94b2-f222ac323099 False Produit Visite
"VISITE GUIDÉE DE METZ - CHAGALL ET COCTEAU À METZ" 13 57000 57463 "Grand Est" 57 Moselle 49.120349 6.176398 "AGENCE INSPIRE METZ" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/a1f7c5b3-5492-3daf-b37f-e89f84c92468 False Produit Visite
"VISITE GUIDÉE VILLE" 5 55100 55545 "Grand Est" 55 Meuse 49.161934 5.387846 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/a5109cec-0bca-3946-b99a-274967764ba4 False Produit Visite
"ACTIVITÉS PARENTS-ENFANTS : BRICOLAGE CŒUR" 11 57400 57630 "Grand Est" 57 Moselle 48.731881 7.058421 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/a6aa6bfb-e3e9-3c45-a950-510470fcb46a False Produit Pratique
"LA CROISIÈRE S'AMUSE... À FONTENOY !" 3 88240 88029 "Grand Est" 88 Vosges 48.000454 6.264881 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/a6efe051-ae54-36d4-8aee-9679b6d1b732 False Produit Visite
"TOUS A LA FERME DU PICHET" 660 88800 88332 "Grand Est" 88 Vosges 48.225833 5.923333 "DESTINATION VITTEL-CONTREXEVILLE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/aa9755d1-01dc-318b-bdb7-a017aaaf97e5 False Produit Pratique
"VISITE ÉCLAIR 'DE LA RUE DU COQ À LA RUE DU CYGNE'" 85 55000 55029 "Grand Est" 55 Meuse 48.773754 5.156211 "OT SUD MEUSE" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/ab1a7b21-25b6-36ec-bf86-e5541483ed42 False Produit Visite
"ATELIER - UN MONDE SOUS CLOCHE" 71 57100 57672 "Grand Est" 57 Moselle 49.359188 6.161035 "PAYS THIONVILLOIS TOURISME" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/adb20a6d-09a9-32ab-af39-601acea516c3 False Produit Pratique
"ACTIVITÉS PARENTS-ENFANTS : FABRIQUES TON JEU DE SOCIÉTÉ" 11 57400 57630 "Grand Est" 57 Moselle 48.731881 7.058421 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/b01fd31f-bbbf-343e-a2b9-c467515d401f False Produit Pratique
"VAUBAN FÊTE NOËL" 195 54400 54323 "Grand Est" 54 Meurthe-et-Moselle 49.523992 5.763022 "OT DU PAYS DE LONGWY" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/b04f874b-d6ad-3669-9f23-1070420f26a0 False Produit Visite
"CIRCUIT CHAMP DE BATAILLE EN BUS" 5 55100 55545 "Grand Est" 55 Meuse 49.161923 5.387863 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/b3040ede-bf34-3e11-a5c3-a04159b947b3 False Produit Visite
"VISITES RANDO CHAMP DE BATAILLE" 1356 55100 55189 "Grand Est" 55 Meuse 49.194928 5.43374 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/b924aa1b-786e-317f-8805-2ca80c2f3ec8 False Produit Visite
"LES CYBERKIDS" 62 88200 88383 "Grand Est" 88 Vosges 48.014574 6.597066 "OT REMIREMONT" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/b9634bda-630b-3c2f-97ca-d356a236b8b6 False Produit Pratique
"CROISIÈRE REPAS" 3 88240 88029 "Grand Est" 88 Vosges 48.000454 6.264881 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/b9cd222e-ddc9-39b7-ac31-259b129e37cc False Produit Visite
"VISITE DE L'ATELIER ART IN VITRAUX" 454 57980 57176 "Grand Est" 57 Moselle 49.125032 6.937528 "FORBACH TOURISME" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/bdb230e5-5df3-3a2a-af3e-5bf1b8ce50c2 False Produit Visite
"A LA RECHERCHE DES CHAMPIGNONS" 727 88240 88520 "Grand Est" 88 Vosges 48.039988 6.278687 "OT EPINAL ET SA REGION" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/bf0226c8-5ba5-34f1-96c5-0b9bed982efc False Produit Pratique
"LES FORÊTS DE L'HISTOIRE 14-18 | BALADE BIOLUMINESCENTE" 1356 55100 55189 "Grand Est" 55 Meuse 49.179625 5.429168 "OT GRAND VERDUN" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/c4727d21-e6a2-37b4-9cc6-5435e57a5618 False Produit Visite
"ACTIVITÉS PARENTS-ENFANTS : PEINTURE DE CARNAVAL" 11 57400 57630 "Grand Est" 57 Moselle 48.731881 7.058421 "TOURISME SARREBOURG MOSELLE SUD - SITE SARREBOURG" "Système d'information touristique Lorrain" https://data.datatourisme.gouv.fr/10/c90219a8-b59a-3ed6-8508-9ba709198c0a False Produit Pratique
